tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
N_sweep,5,50,4000,0.15,0.3,23,0.08767892765164274,0.9157352369730515,0.68425,0.24504785932533382,4
N_sweep,5,50,4000,0.15,0.3,24,0.08170460285417099,0.9132407353392075,0.67425,0.21549359669728935,4
N_sweep,5,50,4000,0.15,0.3,25,0.09447288924726152,0.9065746484955096,0.628,0.24756024953381897,5
N_sweep,5,50,4000,0.15,0.3,26,0.057536196197501395,0.9302595978511532,0.78325,0.18280120703571343,4
N_sweep,5,50,4000,0.15,0.3,27,0.07692139866450637,0.9313827988577555,0.77125,0.2173757971427195,3
N_sweep,5,50,4000,0.15,0.3,28,0.0692906713463771,0.9193623406075843,0.751,0.19635983372577684,3
N_sweep,5,50,4000,0.15,0.3,29,0.08798353839138728,0.9323907787411587,0.78925,0.21908773569322718,3
N_sweep,5,100,4000,0.15,0.3,0,0.0798449851423079,0.915435499175753,0.70125,0.23023513943867113,4
N_sweep,5,100,4000,0.15,0.3,1,0.06790099847431379,0.9235586395936038,0.77025,0.21574925941139483,3
N_sweep,5,100,4000,0.15,0.3,2,0.0635233792894099,0.916639964106021,0.7295,0.2517452163875296,3
N_sweep,5,100,4000,0.15,0.3,3,0.07399513526760275,0.9030918939329703,0.6525,0.20727541872511593,4
N_sweep,5,100,4000,0.15,0.3,4,0.0915161193563037,0.9256975879422065,0.7835,0.24667883171235505,3
N_sweep,5,100,4000,0.15,0.3,5,0.0733558212826072,0.9210587904640565,0.748,0.22508379650260166,3
N_sweep,5,100,4000,0.15,0.3,6,0.06661297668324853,0.9085635266030929,0.66775,0.21089666410484195,4
N_sweep,5,100,4000,0.15,0.3,7,0.06658034790324285,0.9171386197229356,0.73925,0.22757374564144084,3
N_sweep,5,100,4000,0.15,0.3,8,0.06280692981699505,0.9363948595521688,0.82575,0.24930572674323284,3
N_sweep,5,100,4000,0.15,0.3,9,0.06301138271551324,0.9187103209686367,0.7505,0.23432706752442806,3
N_sweep,5,100,4000,0.15,0.3,10,0.06125636735999611,0.9202304124285889,0.72875,0.22261666392687768,4
N_sweep,5,100,4000,0.15,0.3,11,0.08965128728624185,0.9276602903907161,0.78875,0.23823319765734827,3
N_sweep,5,100,4000,0.15,0.3,12,0.056598934561759864,0.9147430404923436,0.73975,0.19330328465166005,3
N_sweep,5,100,4000,0.15,0.3,13,0.06465237734536168,0.9187517519604057,0.7355,0.2374389652431006,3
N_sweep,5,100,4000,0.15,0.3,14,0.060907588293372686,0.9176234469667672,0.73175,0.21521271336217898,3
N_sweep,5,100,4000,0.15,0.3,15,0.06430884907204196,0.9183564264148372,0.755,0.2053535891653492,3
N_sweep,5,100,4000,0.15,0.3,16,0.0746460263800529,0.91524081328747,0.7365,0.22012865426560607,4
N_sweep,5,100,4000,0.15,0.3,17,0.06862716628097941,0.9165372244664403,0.7395,0.2326398093015584,3
N_sweep,5,100,4000,0.15,0.3,18,0.0711574846431902,0.9246851655290238,0.75675,0.230094355297853,3
N_sweep,5,100,4000,0.15,0.3,19,0.08325158415313626,0.9076049382570425,0.67275,0.21391026199321828,4
N_sweep,5,100,4000,0.15,0.3,20,0.0804713473023658,0.9157725055422805,0.733,0.2161963919774525,3
N_sweep,5,100,4000,0.15,0.3,21,0.07745671403501002,0.9189297028741567,0.74175,0.25430503323733616,3
N_sweep,5,100,4000,0.15,0.3,22,0.07804304447434145,0.9251191804561092,0.77225,0.22408900911425805,3
