tag,beta,N,T,epsilon,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
beta_sweep,0,100,4000,0.15,0.3,10,0.07211412711666676,0.7587734280696643,0.31925,0.21969528057245197,3
beta_sweep,0,100,4000,0.15,0.3,11,0.054682452695473206,0.7827873135345115,0.3665,0.23535898451505174,5
beta_sweep,0,100,4000,0.15,0.3,12,0.06060501824323474,0.7647819439107922,0.38025,0.26802638172128296,2
beta_sweep,0,100,4000,0.15,0.3,13,0.06837616975483274,0.7654609766797463,0.3375,0.20982762215633816,3
beta_sweep,0,100,4000,0.15,0.3,14,0.06233753946561959,0.7717663258704088,0.3215,0.22440496876757307,3
beta_sweep,0,100,4000,0.15,0.3,15,0.061151666313903154,0.7663316527050854,0.28725,0.1983365167012963,4
beta_sweep,0,100,4000,0.15,0.3,16,0.06358419957647306,0.7744771899000231,0.3035,0.1917548691736188,4
beta_sweep,0,100,4000,0.15,0.3,17,0.06011458923722843,0.7728554869770795,0.338,0.21803228218979143,4
beta_sweep,0,100,4000,0.15,0.3,18,0.07327130896898418,0.7594993840068546,0.3335,0.20458397739000264,3
beta_sweep,0,100,4000,0.15,0.3,19,0.07938100242969794,0.7428817746356954,0.30075,0.2227392243821875,4
beta_sweep,0,100,4000,0.15,0.3,20,0.05202250647084696,0.787493440519807,0.41625,0.26074742914451654,3
beta_sweep,0,100,4000,0.15,0.3,21,0.0720949507472243,0.7524428126714702,0.31,0.2284981059769115,3
beta_sweep,0,100,4000,0.15,0.3,22,0.051465682711002915,0.7877129717386876,0.364,0.20833098338458564,4
beta_sweep,0,100,4000,0.15,0.3,23,0.061649574733404135,0.7686255654377394,0.31625,0.23288197011336625,6
beta_sweep,0,100,4000,0.15,0.3,24,0.07224978358290719,0.7598201155671467,0.345,0.21668777816952087,3
beta_sweep,0,100,4000,0.15,0.3,25,0.07442060254670482,0.7486616337015604,0.30075,0.21821287766196976,3
beta_sweep,0,100,4000,0.15,0.3,26,0.07005119562088083,0.7653580974882561,0.3495,0.23199669885423002,4
beta_sweep,0,100,4000,0.15,0.3,27,0.07856099291558687,0.7469996256245494,0.2565,0.20359296803752383,4
beta_sweep,0,100,4000,0.15,0.3,28,0.07576641868746957,0.749001823036667,0.31625,0.21147985968229352,3
beta_sweep,0,100,4000,0.15,0.3,29,0.06795648735567747,0.7605679773648881,0.32975,0.1936310375453689,5
beta_sweep,1,100,4000,0.15,0.3,0,0.07629482621168626,0.804205350712985,0.46825,0.276624369211408,3
beta_sweep,1,100,4000,0.15,0.3,1,0.07007591173513578,0.7983186877686622,0.40775,0.2292422425512677,4
beta_sweep,1,100,4000,0.15,0.3,2,0.07127967062441509,0.7914211335406424,0.34775,0.21632204514424586,4
beta_sweep,1,100,4000,0.15,0.3,3,0.0790292658280705,0.7869595731175428,0.398,0.2299876610265898,4
beta_sweep,1,100,4000,0.15,0.3,4,0.061766936361297056,0.8086300294485756,0.42225,0.25312270632441813,4
beta_sweep,1,100,4000,0.15,0.3,5,0.0699539202491544,0.7940575809897504,0.36175,0.2038932745994366,4
beta_sweep,1,100,4000,0.15,0.3,6,0.06444614173556115,0.7970867398197592,0.39775,0.21355705840042621,3
beta_sweep,1,100,4000,0.15,0.3,7,0.07734217925553406,0.794594042228206,0.42675,0.2188282856279445,3
beta_sweep,1,100,4000,0.15,0.3,8,0.0740100797467301,0.7936143850503298,0.3795,0.21024522222325087,4
beta_sweep,1,100,4000,0.15,0.3,9,0.0594555082054675,0.805708072766119,0.3995,0.22340110299369773,3
beta_sweep,1,100,4000,0.15,0.3,10,0.06498827437752772,0.8064148190255731,0.4215,0.21901542233874027,3
beta_sweep,1,100,4000,0.15,0.3,11,0.06315756328174169,0.8175085478171121,0.513,0.2462668680138372,6
beta_sweep,1,100,4000,0.15,0.3,12,0.07043551853472015,0.7952851826498692,0.40375,0.22695635702695205,3
beta_sweep,1,100,4000,0.15,0.3,13,0.07378211107341193,0.7987627581428212,0.4155,0.21774409834106692,3
beta_sweep,1,100,4000,0.15,0.3,14,0.0663190922966796,0.8031689507753148,0.40675,0.22381305371813243,4
beta_sweep,1,100,4000,0.15,0.3,15,0.06529236109547791,0.8144125075742967,0.4495,0.26029496146084424,3
beta_sweep,1,100,4000,0.15,0.3,16,0.06634711295572102,0.8066128356069229,0.4415,0.20042274701578736,4
beta_sweep,1,100,4000,0.15,0.3,17,0.06965802443944967,0.7938315721890263,0.40125,0.21852581959743456,3
beta_sweep,1,100,4000,0.15,0.3,18,0.06748027795683469,0.8046155916205143,0.43425,0.25522490405435955,3
beta_sweep,1,100,4000,0.15,0.3,19,0.08338717543540047,0.7838663472428865,0.407,0.21398895369401194,3
beta_sweep,1,100,4000,0.15,0.3,20,0.06994676806893749,0.792092213809929,0.334,0.22933964653491698,4
beta_sweep,1,100,4000,0.15,0.3,21,0.07879202659028293,0.7880452349126342,0.4,0.22560578586058308,4
beta_sweep,1,100,4000,0.15,0.3,22,0.07417407404235958,0.7958496371670604,0.41475,0.22519119076895353,3
beta_sweep,1,100,4000,0.15,0.3,23,0.06253290803579038,0.8042841829044076,0.41925,0.25634918839116916,4
beta_sweep,1,100,4000,0.15,0.3,24,0.06855164403601494,0.8001113110319737,0.4055,0.2163907470357273,4
beta_sweep,1,100,4000,0.15,0.3,25,0.08121632524283715,0.8033898045947964,0.4695,0.23307859767642464,3
beta_sweep,1,100,4000,0.15,0.3,26,0.06845467276696074,0.8034906386915865,0.461,0.2412568257055486,3
beta_sweep,1,100,4000,0.15,0.3,27,0.07325783031722949,0.7989946210649487,0.40975,0.24409867592445325,4
beta_sweep,1,100,4000,0.15,0.3,28,0.05750527085510144,0.8101218457074256,0.4205,0.19914398268303712,4
beta_sweep,1,100,4000,0.15,0.3,29,0.08046252051244988,0.7944024525807658,0.432,0.21614025896459887,3
