tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.3,100,4000,0.3,24,0.0024433869969572434,0.9392336067727226,0.90475,0.9694066578266572,2
eps_sweep,0,0.3,100,4000,0.3,25,0.004198440905252354,0.9290307982361782,0.873,0.14473946784281186,3
eps_sweep,0,0.3,100,4000,0.3,26,4.007878564544947e-13,0.9336003660389948,0.89775,0.32330034350228143,1
eps_sweep,0,0.3,100,4000,0.3,27,0.0564560572761474,0.7998313273678063,0.50925,0.2549515033575802,2
eps_sweep,0,0.3,100,4000,0.3,28,0.06740565330590767,0.7903489661207769,0.511,0.24460905442669506,2
eps_sweep,0,0.3,100,4000,0.3,29,0.04961915601175956,0.8090467057298449,0.532,0.2869069984437605,2
eps_sweep,0,0.5,100,4000,0.3,0,1.329993632115831e-16,0.9773012160317163,0.99225,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,1,9.495047335543558e-17,0.9782919386663363,0.99225,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,2,7.3948573616097615e-16,0.9769486944298174,0.9925,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,3,7.284464696924937e-16,0.9760807014058961,0.99075,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,4,4.656308882466326e-16,0.977246412908491,0.992,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,5,5.019241916748919e-16,0.9734260166824101,0.98825,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,6,1.8423712718455295e-16,0.9825502220554315,0.9965,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,7,1.8996470849643476e-16,0.977261543261009,0.99175,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,8,7.728976778930601e-16,0.9755043527755369,0.99075,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,9,2.7610222041001322e-15,0.9753189472140458,0.98975,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,10,6.85029158257758e-16,0.9771890707289482,0.99125,0.3233003435023977,1
eps_sweep,0,0.5,100,4000,0.3,11,8.752392212425202e-17,0.9750158524582169,0.98975,0.3233003435023977,1
