condition,seed,round,opinion_var,opinion_bimodality,frac_extreme,round_diversity_entropy
static,2,20,0.07073018268456614,0.16615854966781898,0.02666666666666667,1.7063616202660379
static,2,21,0.07092442273286331,0.16655652733116214,0.03333333333333333,1.6958107563500873
static,2,22,0.07110013525504896,0.16700146664406368,0.03,1.718163251184139
static,2,23,0.0715209072474369,0.16699999405969435,0.03333333333333333,1.7095317790360671
static,2,24,0.07218718382637056,0.16707189419692398,0.03333333333333333,1.724130308360424
static,2,25,0.07246248900099327,0.16691115773514423,0.03333333333333333,1.735700448052158
static,2,26,0.07239537595992665,0.16694649284131596,0.03333333333333333,1.726108977722013
static,2,27,0.07273944383208028,0.1666571320431833,0.03333333333333333,1.7229918973419116
static,2,28,0.07271474887474198,0.1668994456653728,0.03333333333333333,1.7277176283261029
static,2,29,0.07292556555979798,0.1659685548286222,0.03333333333333333,1.7258349703824736
static,2,30,0.07378549873022294,0.16622195798908876,0.03333333333333333,1.7255690067922551
static,2,31,0.07416981882163837,0.1662099306470301,0.03333333333333333,1.7197044674757938
static,2,32,0.07433498475346509,0.16635256531778408,0.03666666666666667,1.7400408372946825
static,2,33,0.07445095277773212,0.1657353167340861,0.03666666666666667,1.7436330394279966
static,2,34,0.0744716717574825,0.16536117693185318,0.03666666666666667,1.7418983280004603
static,2,35,0.07445254270650058,0.16612665109063887,0.03666666666666667,1.7597594333547593
static,2,36,0.07450282229789032,0.16604132117539466,0.03666666666666667,1.739811596425241
static,2,37,0.07509697566288655,0.16591661003092542,0.03333333333333333,1.7648691523874227
static,2,38,0.07524567468054864,0.16683561112931528,0.03333333333333333,1.7455278060899229
static,2,39,0.075216492032056,0.1667814960190727,0.03333333333333333,1.7552956880516422
static,3,0,0.07897081061530833,0.16497381674442185,0.03666666666666667,2.254482889174045
static,3,1,0.06601487492168681,0.16465514141040694,0.01,2.2519068850828314
static,3,2,0.05552243196742848,0.16888487906367722,0.01,2.235350451610077
static,3,3,0.05596420785690914,0.16858567098166974,0.01,1.6052745733190568
static,3,4,0.05590304775902913,0.16939265508352022,0.006666666666666667,1.6052486043604755
static,3,5,0.056346872270705915,0.16934202975513696,0.01,1.6119399604809674
static,3,6,0.056629344315984785,0.1693535606850723,0.006666666666666667,1.6046098083567262
static,3,7,0.05680677669651843,0.16918220948100995,0.006666666666666667,1.6193434155309303
static,3,8,0.05708984973698183,0.17034182709798254,0.006666666666666667,1.604807765723924
static,3,9,0.05768604002523081,0.17009889062928302,0.006666666666666667,1.6217962083208004
static,3,10,0.05794724355293559,0.17018220210227486,0.006666666666666667,1.625200402932156
static,3,11,0.05824549508581607,0.16991678952261205,0.006666666666666667,1.6194518610498434
static,3,12,0.05872074504801044,0.1682476237014467,0.01,1.6405214136923685
static,3,13,0.05883889998071507,0.16810353559752952,0.01,1.6237636250438459
static,3,14,0.05886346719961811,0.16760387473484747,0.01,1.6346877104281161
static,3,15,0.05864827481039538,0.16895946308892734,0.006666666666666667,1.6328219615776745
static,3,16,0.05844397322770572,0.1695374572063314,0.006666666666666667,1.6192463592602553
static,3,17,0.05857257637311978,0.16979420721889205,0.006666666666666667,1.634566968632964
static,3,18,0.05897176000721204,0.17012905603179623,0.006666666666666667,1.627753890808962
static,3,19,0.05919339681430486,0.1703054181507625,0.006666666666666667,1.6244854294563849
static,3,20,0.059561864038779104,0.1701071377976717,0.006666666666666667,1.6392892817122446
static,3,21,0.05963053737939116,0.17106558070999442,0.006666666666666667,1.6372465750817145
static,3,22,0.06001907516715398,0.1712631519580965,0.006666666666666667,1.6425756661388862
static,3,23,0.059931104218776836,0.17093652432273393,0.006666666666666667,1.6475821350022153
static,3,24,0.060421718941885416,0.1720784235407477,0.006666666666666667,1.6292461128660665
static,3,25,0.06030758732471511,0.17209366991523453,0.006666666666666667,1.632913913127883
static,3,26,0.06032564825920133,0.17297609135569336,0.0033333333333333335,1.6413625601758324
static,3,27,0.06120834858575517,0.17337702112422815,0.006666666666666667,1.6315689152416322
static,3,28,0.06159790591949971,0.17340898932506268,0.01,1.6427147726489852
static,3,29,0.06171113894470354,0.17356868702722383,0.01,1.6644980432570575
static,3,30,0.06182844063127283,0.17326127821372028,0.01,1.6431282260725673
static,3,31,0.062126733397572,0.17340760460640883,0.006666666666666667,1.6488500343894528
static,3,32,0.062146280768217065,0.17436611768339338,0.01,1.654617347078809
static,3,33,0.06263725570696523,0.1747561642680723,0.006666666666666667,1.6555662331194578
static,3,34,0.06272316545795273,0.17507894394690535,0.006666666666666667,1.649615234951304
static,3,35,0.06328092754488433,0.17452715866648297,0.01,1.6400444631818005
static,3,36,0.06367766133661085,0.1741288839578068,0.013333333333333334,1.6417993577059347
static,3,37,0.06386712554622635,0.17401458411188117,0.013333333333333334,1.6591436426381168
static,3,38,0.06439901925963008,0.1737516332456671,0.013333333333333334,1.6698037110478166
static,3,39,0.06456860187174053,0.17303449649162056,0.013333333333333334,1.6741820512757273
