team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,p_ai,transparent,heuristic,seed
0.7017333333333333,0.6473666666666666,0.6485666666666666,0.42546666666666666,0.26766574978658825,0.489027085367734,0.3872164582343413,0.053166666666666695,0.65,True,asymmetric,10
0.7078666666666666,0.6486,0.6533666666666667,0.43316666666666664,0.2634868737378594,0.4768124075302281,0.38491063464976205,0.05449999999999999,0.65,True,asymmetric,11
0.7072,0.6467666666666667,0.6524333333333333,0.4322,0.26767047089287427,0.48015122873345933,0.40198393039857316,0.05476666666666674,0.65,True,asymmetric,12
0.7099666666666666,0.6504,0.6493333333333333,0.43496666666666667,0.26549429657794676,0.4735112936344969,0.3750070908360324,0.05956666666666666,0.65,True,asymmetric,13
0.7102666666666667,0.6517333333333334,0.6518666666666667,0.4288,0.2599578705476829,0.4810288402536306,0.38285517062555363,0.05840000000000001,0.65,True,asymmetric,14
0.7069,0.6556666666666666,0.6489666666666667,0.4277666666666667,0.2639825277751401,0.48364065950999025,0.3934946532487963,0.05123333333333335,0.65,True,asymmetric,15
0.7012333333333334,0.6470333333333333,0.6454,0.42146666666666666,0.26311336717428085,0.4915298006404297,0.3817618141757235,0.054200000000000026,0.65,True,asymmetric,16
0.7074666666666667,0.6533333333333333,0.6441,0.4276,0.26290156410976867,0.4813952284841898,0.3979285225597769,0.05413333333333337,0.65,True,asymmetric,17
0.7059,0.6472333333333333,0.6499333333333334,0.4262,0.2582365263759284,0.4833316237562827,0.3932651035247639,0.05596666666666661,0.65,True,asymmetric,18
0.6995,0.6440666666666667,0.6474666666666666,0.42733333333333334,0.27136913767019666,0.4877471169686985,0.3850866074811019,0.052033333333333376,0.65,True,asymmetric,19
0.707,0.6452,0.6478333333333334,0.42496666666666666,0.2619971604353999,0.48644198610753797,0.3823093035256717,0.05916666666666659,0.65,True,asymmetric,20
0.7089,0.6545666666666666,0.6519,0.42766666666666664,0.26591975485971464,0.4859641049240681,0.39318329540803687,0.054333333333333345,0.65,True,asymmetric,21
0.7063,0.6472333333333333,0.6496,0.4312666666666667,0.2682648401826484,0.48080870279146143,0.3762295341396225,0.056700000000000084,0.65,True,asymmetric,22
0.7054666666666667,0.6516666666666666,0.6477333333333334,0.42696666666666666,0.269114307342922,0.4871860848085632,0.37672750546504474,0.05380000000000007,0.65,True,asymmetric,23
0.7059,0.6480666666666667,0.6493,0.4285333333333333,0.26290276589677786,0.4820062631551928,0.366608499357999,0.056599999999999984,0.65,True,asymmetric,24
0.7110333333333333,0.6527,0.6514,0.4296,0.2653471026965003,0.48249923242247467,0.38663105113894397,0.05833333333333335,0.65,True,asymmetric,25
0.7062333333333334,0.6512,0.6524333333333333,0.4330333333333333,0.26891723410376905,0.479538139273489,0.37908881860196075,0.05380000000000007,0.65,True,asymmetric,26
0.7023,0.6498333333333334,0.6445,0.4260333333333333,0.26872948898265353,0.48719937936384794,0.37794184547708704,0.05246666666666666,0.65,True,asymmetric,27
0.7090666666666666,0.6480666666666667,0.6559,0.4367666666666667,0.2718202073040783,0.4766986837424404,0.387893420142933,0.053166666666666584,0.65,True,asymmetric,28
0.7104666666666667,0.6546333333333333,0.649,0.42583333333333334,0.2631528964862298,0.4861838726245506,0.3875055272699386,0.0558333333333334,0.65,True,asymmetric,29
0.7149,0.6496,0.6534333333333333,0.5472,0.36616331634125227,0.3567821251849207,0.5,0.06146666666666667,0.65,True,fixed,0
0.7143666666666667,0.651,0.6538333333333334,0.5403,0.3566682715454983,0.362477695641091,0.5,0.06053333333333333,0.65,True,fixed,1
0.7130333333333333,0.6481,0.6480333333333334,0.5446666666666666,0.3579884458755564,0.3539426984208631,0.5,0.06493333333333329,0.65,True,fixed,2
0.7091666666666666,0.6447666666666667,0.6431666666666667,0.5384333333333333,0.3567491826249416,0.36076703809277016,0.5,0.0643999999999999,0.65,True,fixed,3
0.7161333333333333,0.6508666666666667,0.6497,0.5477,0.3618802930821201,0.3521112308244831,0.5,0.06526666666666658,0.65,True,fixed,4
0.7191666666666666,0.6551333333333333,0.6541666666666667,0.5409666666666667,0.35045783132530123,0.3583184713375796,0.5,0.06403333333333328,0.65,True,fixed,5
0.7168,0.6481333333333333,0.6522333333333333,0.5452333333333333,0.35521901658199945,0.35345224101804057,0.5,0.06456666666666666,0.65,True,fixed,6
0.7115666666666667,0.6466,0.6509333333333334,0.5407666666666666,0.35084033613445376,0.3573842687423187,0.5,0.06063333333333332,0.65,True,fixed,7
