team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,sweep,value,p_ai,seed
0.7478666666666667,0.6479,0.7517333333333334,0.5024666666666666,0.3148496240601504,0.4355711245122384,0.4310918152086389,-0.003866666666666685,eta_down,0.32,0.75,5
0.7492666666666666,0.6542333333333333,0.7509333333333333,0.49816666666666665,0.31383832976445397,0.4406960227272727,0.4436490374186436,-0.0016666666666667052,eta_down,0.32,0.75,6
0.7451,0.6469666666666667,0.7473,0.49093333333333333,0.29982851866508375,0.4444444444444444,0.4284363709450314,-0.0021999999999999797,eta_down,0.32,0.75,7
0.7420666666666667,0.6499,0.7472,0.4908666666666667,0.3020833333333333,0.445262312633833,0.43160826923365264,-0.005133333333333323,eta_down,0.32,0.75,8
0.7461666666666666,0.6472666666666667,0.7502666666666666,0.4963,0.3076615056059797,0.4409098987026835,0.43018143124140024,-0.0040999999999999925,eta_down,0.32,0.75,9
0.7448,0.6461333333333333,0.748,0.5015333333333334,0.31322751322751324,0.4350267379679144,0.4215631775998247,-0.0031999999999999806,eta_down,0.32,0.75,10
0.7486,0.6489666666666667,0.7480666666666667,0.49806666666666666,0.30748875363852873,0.4377506461099724,0.41494971693429306,0.0005333333333333856,eta_down,0.32,0.75,11
0.7502333333333333,0.6466,0.7478,0.4941333333333333,0.29381443298969073,0.43830792547026837,0.41680970005728013,0.0024333333333332874,eta_down,0.32,0.75,12
0.7478,0.6512666666666667,0.7500333333333333,0.4972666666666667,0.3119082544339245,0.4409581796364606,0.44242337094165934,-0.0022333333333333094,eta_down,0.32,0.75,13
0.7456666666666667,0.6509666666666667,0.7464666666666666,0.49646666666666667,0.3067315277412569,0.43909082790033044,0.4271510117050126,-0.0007999999999999119,eta_down,0.32,0.75,14
0.7447666666666667,0.6489,0.7469333333333333,0.4918,0.2907007376185458,0.4400660478400571,0.42718632674246365,-0.00216666666666665,eta_down,0.32,0.75,15
0.7492,0.6499,0.7537,0.5029,0.3115441873054541,0.434567246030693,0.4179720320888978,-0.0045000000000000595,eta_down,0.32,0.75,16
0.7518,0.6503333333333333,0.7509666666666667,0.5030666666666667,0.30250301164502746,0.4304230103422256,0.4179390194155814,0.0008333333333333526,eta_down,0.32,0.75,17
0.7475666666666667,0.6484,0.7517,0.5040666666666667,0.3117196939186468,0.43239767637798765,0.4280736820614367,-0.004133333333333322,eta_down,0.32,0.75,18
0.7471333333333333,0.6528,0.7469333333333333,0.4942666666666667,0.30492623814541625,0.44158336308461266,0.42479833153192154,0.00019999999999997797,eta_down,0.32,0.75,19
0.8178666666666666,0.6483666666666666,0.8525,0.6765666666666666,0.4788700564971751,0.289227761485826,0.5945173492846396,-0.034633333333333405,eta_down,0.32,0.85,0
0.8149666666666666,0.6513666666666666,0.8492,0.6655666666666666,0.45380194518125555,0.2968283875019626,0.5660255055102027,-0.03423333333333334,eta_down,0.32,0.85,1
0.8122666666666667,0.6505333333333333,0.8479333333333333,0.6657,0.4614204296361245,0.2976649107634248,0.5644305242630889,-0.035666666666666624,eta_down,0.32,0.85,2
0.8146666666666667,0.6530666666666667,0.8500333333333333,0.6663,0.45743498555234496,0.2968511038782793,0.5984593164298047,-0.03536666666666666,eta_down,0.32,0.85,3
0.8139,0.6481333333333333,0.8502333333333333,0.6669333333333334,0.4620520810149121,0.29697730034892383,0.591046968830257,-0.03633333333333333,eta_down,0.32,0.85,4
0.8157333333333333,0.6487666666666667,0.8516,0.6682666666666667,0.45530098831985627,0.29462188821042745,0.6042894068559108,-0.03586666666666671,eta_down,0.32,0.85,5
0.8070333333333334,0.6441333333333333,0.8441,0.6538666666666667,0.45285439384220655,0.3090076215298345,0.5789091961997108,-0.03706666666666658,eta_down,0.32,0.85,6
0.8152333333333334,0.6492666666666667,0.8482333333333333,0.6656666666666666,0.4432242477487371,0.29453373678626166,0.5989400391895223,-0.03299999999999992,eta_down,0.32,0.85,7
0.8156333333333333,0.6475666666666666,0.853,0.6747666666666666,0.4702947845804989,0.2899960922235248,0.5929674223877575,-0.03736666666666666,eta_down,0.32,0.85,8
0.8130333333333334,0.6520666666666667,0.8491333333333333,0.6679,0.4619973486522316,0.2955169977231687,0.5887350037822163,-0.03609999999999991,eta_down,0.32,0.85,9
0.8100333333333334,0.6509,0.8503333333333334,0.6669,0.46748329621380846,0.29800078400627206,0.6150048234596303,-0.0403,eta_down,0.32,0.85,10
0.8138,0.6564333333333333,0.8505333333333334,0.6688333333333333,0.46498661909009814,0.2953440978209751,0.5911669304383947,-0.036733333333333396,eta_down,0.32,0.85,11
0.8164333333333333,0.6518666666666667,0.8467,0.6663666666666667,0.4409654272667971,0.29282311720011023,0.568500817102073,-0.030266666666666664,eta_down,0.32,0.85,12
0.8152,0.6472333333333333,0.8501,0.6702333333333333,0.45763842561707807,0.2922793396855272,0.5686374159749839,-0.03489999999999993,eta_down,0.32,0.85,13
0.8156666666666667,0.6528333333333334,0.8498,0.6686,0.4478473146915224,0.29238252137757903,0.5825600749897204,-0.03413333333333335,eta_down,0.32,0.85,14
0.8129333333333333,0.6548333333333334,0.8498,0.6706,0.47270306258322237,0.2944222169922335,0.5929924580066911,-0.036866666666666714,eta_down,0.32,0.85,15
0.815,0.6538666666666667,0.8483,0.6667333333333333,0.45396616128323447,0.2952178867539,0.5890088962309618,-0.03330000000000011,eta_down,0.32,0.85,16
0.8150666666666667,0.6474666666666666,0.8498,0.6725333333333333,0.46249445184198845,0.2903428257629246,0.5750779249197748,-0.03473333333333328,eta_down,0.32,0.85,17
0.8124,0.6471666666666667,0.8479333333333333,0.6602333333333333,0.443445857080228,0.30088843462536363,0.585331334647719,-0.035533333333333306,eta_down,0.32,0.85,18
0.8167666666666666,0.6476333333333333,0.8502,0.6701,0.45816644414775254,0.29255861365953106,0.5905326482266985,-0.033433333333333315,eta_down,0.32,0.85,19
0.7680333333333333,0.6469,0.7492666666666666,0.7773333333333333,0.6084817867588407,0.16616246997063797,0.7484539473684211,0.01876666666666671,conf_beta,1.0,0.75,0
0.7705,0.6532333333333333,0.7504666666666666,0.7820666666666667,0.6138124499064921,0.16198809629563826,0.7490625,0.020033333333333347,conf_beta,1.0,0.75,1
0.77,0.6459666666666667,0.7484333333333333,0.7777333333333334,0.608983702133298,0.1655458067964192,0.7453618421052631,0.021566666666666734,conf_beta,1.0,0.75,2
