team_acc,human_acc,ai_acc,comply_rate,over_reliance,under_reliance,final_trust,complementarity,label,eta_up,eta_down,ratio,p_ai,seed
0.7598333333333334,0.6515,0.7477,0.5689666666666666,0.36028537455410226,0.3606170032544247,0.49765136105553737,0.01213333333333333,ratio3_scale_hi,0.08,0.24,3.0,0.75,9
0.7584333333333333,0.6520333333333334,0.7483333333333333,0.5591333333333334,0.3594701986754967,0.37371937639198216,0.5044637433126534,0.010099999999999998,ratio3_scale_hi,0.08,0.24,3.0,0.75,10
0.7552666666666666,0.652,0.748,0.5680666666666667,0.3652116402116402,0.36359180035650623,0.5002897081952615,0.0072666666666666435,ratio3_scale_hi,0.08,0.24,3.0,0.75,11
0.7551,0.6459,0.7503,0.5613666666666667,0.3621679348551595,0.3723399529077258,0.530236707404688,0.0048000000000000265,ratio3_scale_hi,0.08,0.24,3.0,0.75,12
0.7556666666666667,0.6488666666666667,0.7477666666666667,0.5573666666666667,0.3640808774943835,0.3774350287522846,0.5064061583913418,0.007900000000000018,ratio3_scale_hi,0.08,0.24,3.0,0.75,13
0.7539,0.6472,0.7471333333333333,0.5656666666666667,0.36923279725810704,0.3678504506112251,0.4829351484998922,0.006766666666666699,ratio3_scale_hi,0.08,0.24,3.0,0.75,14
0.7537333333333334,0.6473666666666666,0.7477333333333334,0.5654,0.3656183932346723,0.3671986447931526,0.48306082430086816,0.006000000000000005,ratio3_scale_hi,0.08,0.24,3.0,0.75,15
0.7583666666666666,0.6513,0.7539333333333333,0.5692333333333334,0.3709021945272284,0.3660359006101335,0.5167790337142703,0.004433333333333289,ratio3_scale_hi,0.08,0.24,3.0,0.75,16
0.7561666666666667,0.6535333333333333,0.7475333333333334,0.5641666666666667,0.36004753102719833,0.3668955676446981,0.5137431508210328,0.00863333333333327,ratio3_scale_hi,0.08,0.24,3.0,0.75,17
0.7538,0.6486666666666666,0.7463333333333333,0.5629666666666666,0.35703022339027596,0.3670388566324252,0.4902393004369914,0.0074666666666667325,ratio3_scale_hi,0.08,0.24,3.0,0.75,18
0.7548,0.6485,0.7456666666666667,0.5605333333333333,0.3619921363040629,0.37174787662047387,0.4897913506841284,0.009133333333333327,ratio3_scale_hi,0.08,0.24,3.0,0.75,19
0.8266333333333333,0.6502666666666667,0.8511666666666666,0.7261666666666666,0.5269876819708846,0.23900528686117095,0.6632599369733231,-0.024533333333333296,ratio3_scale_hi,0.08,0.24,3.0,0.85,0
0.8283,0.6502666666666667,0.8520666666666666,0.7263,0.5110410094637224,0.2363273609263751,0.6561912803765158,-0.023766666666666603,ratio3_scale_hi,0.08,0.24,3.0,0.85,1
0.8228333333333333,0.6490333333333334,0.8496333333333334,0.7284666666666667,0.5253823985812458,0.23559182392404568,0.6584924628026072,-0.026800000000000046,ratio3_scale_hi,0.08,0.24,3.0,0.85,2
0.8294666666666667,0.6489666666666667,0.8524,0.7307666666666667,0.514453477868112,0.2317769435319881,0.6525719291772295,-0.02293333333333336,ratio3_scale_hi,0.08,0.24,3.0,0.85,3
0.8192,0.6512666666666667,0.8470666666666666,0.7188666666666667,0.5244115082824761,0.24602549976389107,0.6431634490615017,-0.027866666666666595,ratio3_scale_hi,0.08,0.24,3.0,0.85,4
0.8286666666666667,0.6469333333333334,0.8502666666666666,0.7268333333333333,0.5162511130899377,0.23608279755370865,0.6632271961930439,-0.021599999999999953,ratio3_scale_hi,0.08,0.24,3.0,0.85,5
0.8256,0.6509666666666667,0.8489333333333333,0.7253333333333334,0.5242718446601942,0.23888801633422335,0.6195413301922421,-0.023333333333333317,ratio3_scale_hi,0.08,0.24,3.0,0.85,6
0.8232666666666667,0.6509333333333334,0.8480333333333333,0.7228666666666667,0.5222636543101558,0.2411854879918242,0.6602059282266967,-0.024766666666666604,ratio3_scale_hi,0.08,0.24,3.0,0.85,7
0.8287666666666667,0.6450666666666667,0.8515666666666667,0.7326666666666667,0.5183022681338424,0.22996829373311936,0.6549481896371089,-0.022800000000000042,ratio3_scale_hi,0.08,0.24,3.0,0.85,8
0.8255333333333333,0.6517,0.8489333333333333,0.7276333333333334,0.5302294792586054,0.23723888801633422,0.6371413832446667,-0.023399999999999976,ratio3_scale_hi,0.08,0.24,3.0,0.85,9
0.8264333333333334,0.6474,0.8511666666666666,0.7273666666666667,0.522060470324748,0.23673389465439593,0.666016049102237,-0.024733333333333274,ratio3_scale_hi,0.08,0.24,3.0,0.85,10
0.8243,0.6524666666666666,0.8502,0.7266,0.5235870048954161,0.2376303614835725,0.6599207936161474,-0.025899999999999923,ratio3_scale_hi,0.08,0.24,3.0,0.85,11
0.8256,0.6517,0.8515,0.7247666666666667,0.5277216610549944,0.24086905460951263,0.6560043428885071,-0.025900000000000034,ratio3_scale_hi,0.08,0.24,3.0,0.85,12
0.8238333333333333,0.6481333333333333,0.8470666666666666,0.7256333333333334,0.5141673931996512,0.23618762789233433,0.6587674423647414,-0.023233333333333328,ratio3_scale_hi,0.08,0.24,3.0,0.85,13
0.825,0.6499333333333334,0.8520333333333333,0.7285333333333334,0.5420139671097094,0.2390751535542428,0.6540368735774575,-0.027033333333333354,ratio3_scale_hi,0.08,0.24,3.0,0.85,14
0.8292,0.6479333333333334,0.8527666666666667,0.7319333333333333,0.5175458455965587,0.231051870382676,0.6528013425673967,-0.023566666666666625,ratio3_scale_hi,0.08,0.24,3.0,0.85,15
0.8209,0.6458333333333334,0.8510666666666666,0.7256,0.5297672336615935,0.24013003289989032,0.6667698643150046,-0.030166666666666675,ratio3_scale_hi,0.08,0.24,3.0,0.85,16
0.8235333333333333,0.6511333333333333,0.8487,0.7256666666666667,0.5265476977307777,0.23883586661953576,0.6248690499736216,-0.02516666666666667,ratio3_scale_hi,0.08,0.24,3.0,0.85,17
0.8229666666666666,0.6493,0.8470666666666666,0.7223333333333334,0.5231037489102005,0.2416968361404061,0.6613743154647703,-0.02410000000000001,ratio3_scale_hi,0.08,0.24,3.0,0.85,18
0.8283333333333334,0.6429,0.8516,0.729,0.5181940700808625,0.234264913104744,0.6737796911930074,-0.023266666666666658,ratio3_scale_hi,0.08,0.24,3.0,0.85,19
0.753,0.6543,0.7499,0.5656,0.38198054111688656,0.3731608658932302,0.5084123947408126,0.0030999999999999917,ratio3_scale_hi2,0.12,0.36,3.0,0.75,0
0.7511666666666666,0.6466666666666666,0.7526666666666667,0.5642333333333334,0.37641509433962267,0.37404782993799823,0.5198659839098257,-0.0015000000000000568,ratio3_scale_hi2,0.12,0.36,3.0,0.75,1
0.7531,0.6544333333333333,0.7481,0.5582,0.37064972872833135,0.3786481308203003,0.49702791425387716,0.0050000000000000044,ratio3_scale_hi2,0.12,0.36,3.0,0.75,2
0.7537666666666667,0.6466,0.7511,0.5628666666666666,0.37230480782107944,0.3739848222606843,0.4971440355861634,0.002666666666666706,ratio3_scale_hi2,0.12,0.36,3.0,0.75,3
0.7572,0.6536666666666666,0.7499666666666667,0.56,0.3756832422343688,0.37855015778479045,0.47549583640785725,0.007233333333333314,ratio3_scale_hi2,0.12,0.36,3.0,0.75,4
0.7577,0.6535666666666666,0.7498333333333334,0.5637,0.37295136575616256,0.37266059124249834,0.4910952795885397,0.007866666666666688,ratio3_scale_hi2,0.12,0.36,3.0,0.75,5
0.7516,0.6469,0.7470333333333333,0.5626333333333333,0.37422585320859136,0.3735665521395743,0.49272744321503864,0.004566666666666719,ratio3_scale_hi2,0.12,0.36,3.0,0.75,6
0.7538333333333334,0.6489666666666667,0.7521666666666667,0.5673333333333334,0.3790181573638198,0.3706182140483049,0.4993618238689254,0.0016666666666667052,ratio3_scale_hi2,0.12,0.36,3.0,0.75,7
0.7546,0.6494,0.7498666666666667,0.5643333333333334,0.37300106609808104,0.37184388335704127,0.49838003324583724,0.004733333333333367,ratio3_scale_hi2,0.12,0.36,3.0,0.75,8
0.7526,0.6505333333333333,0.7517333333333334,0.5580666666666667,0.36828678839957035,0.3792568286626463,0.5053603456884806,0.0008666666666666822,ratio3_scale_hi2,0.12,0.36,3.0,0.75,9
0.7538333333333334,0.6499,0.7504333333333333,0.5617,0.3681047148390544,0.37391729223115533,0.5091744309146076,0.0034000000000000696,ratio3_scale_hi2,0.12,0.36,3.0,0.75,10
0.7588333333333334,0.6520333333333334,0.7546333333333334,0.5707666666666666,0.37997554680070644,0.3671981978002562,0.49981728530457903,0.0041999999999999815,ratio3_scale_hi2,0.12,0.36,3.0,0.75,11
0.7543333333333333,0.6556666666666666,0.7519,0.5636333333333333,0.3804917372027408,0.3759365163807244,0.4934848413252759,0.0024333333333332874,ratio3_scale_hi2,0.12,0.36,3.0,0.75,12
0.7520333333333333,0.6485333333333333,0.7459666666666667,0.5521,0.36556882298910903,0.38437821171634123,0.5014178102055572,0.006066666666666665,ratio3_scale_hi2,0.12,0.36,3.0,0.75,13
0.7540333333333333,0.6465666666666666,0.7513333333333333,0.5625333333333333,0.3695710455764075,0.3736024844720497,0.5235349896453557,0.0027000000000000357,ratio3_scale_hi2,0.12,0.36,3.0,0.75,14
0.7548333333333334,0.6487666666666667,0.7518333333333334,0.5641,0.3716588314304903,0.37237863001551763,0.4922951058266769,0.0030000000000000027,ratio3_scale_hi2,0.12,0.36,3.0,0.75,15
0.7557,0.6522666666666667,0.7504333333333333,0.5635333333333333,0.3699746226793108,0.3720961222404833,0.5045758438401421,0.005266666666666753,ratio3_scale_hi2,0.12,0.36,3.0,0.75,16
0.752,0.646,0.7502,0.5641333333333334,0.3757672804910595,0.3731449391273438,0.5015791367495608,0.0018000000000000238,ratio3_scale_hi2,0.12,0.36,3.0,0.75,17
0.7546333333333334,0.6472,0.7515666666666667,0.5645,0.3755534684019858,0.373042976892713,0.5291552596904239,0.003066666666666662,ratio3_scale_hi2,0.12,0.36,3.0,0.75,18
0.7472333333333333,0.6441666666666667,0.7466,0.5573333333333333,0.3762167850565641,0.38119474953120813,0.47591826452511854,0.0006333333333332636,ratio3_scale_hi2,0.12,0.36,3.0,0.75,19
0.8218333333333333,0.6476333333333333,0.8512666666666666,0.7234,0.5338413267593007,0.24348030386091316,0.6697342997321205,-0.02943333333333331,ratio3_scale_hi2,0.12,0.36,3.0,0.85,0
0.8252,0.6501,0.8494333333333334,0.7244,0.5326544166482179,0.2416120550955539,0.658012718313561,-0.02423333333333333,ratio3_scale_hi2,0.12,0.36,3.0,0.85,1
0.8220333333333333,0.6491666666666667,0.8527666666666667,0.729,0.54403441249717,0.239065004104288,0.649733859692042,-0.03073333333333339,ratio3_scale_hi2,0.12,0.36,3.0,0.85,2
0.8249666666666666,0.6517666666666667,0.8486666666666667,0.7183,0.5101321585903084,0.2445797329143755,0.6417850244444877,-0.023700000000000054,ratio3_scale_hi2,0.12,0.36,3.0,0.85,3
0.8181,0.6479333333333334,0.8477,0.7173666666666667,0.5353469030422412,0.24993118634737133,0.6959535591313509,-0.02959999999999996,ratio3_scale_hi2,0.12,0.36,3.0,0.85,4
0.8210333333333333,0.6467,0.8497,0.7251,0.5455755156353959,0.24314463928445335,0.6481236750820238,-0.02866666666666673,ratio3_scale_hi2,0.12,0.36,3.0,0.85,5
0.8251666666666667,0.6483666666666666,0.8507666666666667,0.7266666666666667,0.5427741791378154,0.2410766759393488,0.6598235681030346,-0.025599999999999956,ratio3_scale_hi2,0.12,0.36,3.0,0.85,6
0.8245666666666667,0.6506333333333333,0.8503666666666667,0.7220333333333333,0.5335263978614391,0.24479636235349458,0.6501339220520777,-0.025800000000000045,ratio3_scale_hi2,0.12,0.36,3.0,0.85,7
0.8268333333333333,0.6497666666666667,0.8523333333333334,0.7252333333333333,0.5252821670428894,0.24012514665623777,0.6648548234134333,-0.025500000000000078,ratio3_scale_hi2,0.12,0.36,3.0,0.85,8
0.8204666666666667,0.6534666666666666,0.8479333333333333,0.7193,0.5300306882946076,0.24675682050475667,0.644110225196921,-0.02746666666666664,ratio3_scale_hi2,0.12,0.36,3.0,0.85,9
0.8229666666666666,0.6539666666666667,0.8477,0.7180333333333333,0.5244035894068724,0.24717864024222405,0.6307773050808251,-0.024733333333333385,ratio3_scale_hi2,0.12,0.36,3.0,0.85,10
0.8234333333333334,0.6502333333333333,0.8482,0.7201333333333333,0.5212999560825647,0.2442820089601509,0.6685704980757384,-0.024766666666666604,ratio3_scale_hi2,0.12,0.36,3.0,0.85,11
0.8243333333333334,0.6508333333333334,0.8498666666666667,0.7251666666666666,0.5297513321492007,0.2403122058362096,0.6589593042041622,-0.025533333333333297,ratio3_scale_hi2,0.12,0.36,3.0,0.85,12
0.8253333333333334,0.6551,0.8476,0.7205,0.5194663167104112,0.24335378323108384,0.6392038718915429,-0.022266666666666657,ratio3_scale_hi2,0.12,0.36,3.0,0.85,13
0.8237,0.6524,0.8480666666666666,0.7222333333333333,0.5320315928038614,0.24369153368445876,0.6604949172267741,-0.024366666666666648,ratio3_scale_hi2,0.12,0.36,3.0,0.85,14
0.8180333333333333,0.6443,0.8448666666666667,0.7124,0.5322303394929093,0.25451747810305375,0.6504432161698827,-0.026833333333333376,ratio3_scale_hi2,0.12,0.36,3.0,0.85,15
0.8246333333333333,0.6512666666666667,0.8496333333333334,0.7242666666666666,0.5304810463311904,0.24143748283573307,0.6486763134942514,-0.025000000000000022,ratio3_scale_hi2,0.12,0.36,3.0,0.85,16
0.8266,0.6456333333333333,0.8516,0.7249666666666666,0.518418688230009,0.2390402379834038,0.64665774294062,-0.025000000000000022,ratio3_scale_hi2,0.12,0.36,3.0,0.85,17
0.8254,0.6512,0.8513333333333334,0.7247666666666667,0.5401345291479821,0.24299138606108064,0.6432759076609915,-0.025933333333333364,ratio3_scale_hi2,0.12,0.36,3.0,0.85,18
0.8196333333333333,0.6507666666666667,0.8459333333333333,0.7199,0.5406750324534834,0.24745842856017022,0.6410008195260685,-0.02629999999999999,ratio3_scale_hi2,0.12,0.36,3.0,0.85,19
0.7389666666666667,0.6517333333333334,0.7540333333333333,0.4191666666666667,0.23119663911099064,0.5195172627204809,0.34096260962606506,-0.015066666666666673,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,0
0.737,0.6503333333333333,0.7473,0.39986666666666665,0.21395594248779845,0.5372674963200856,0.3299369344120272,-0.010299999999999976,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,1
0.7358666666666667,0.6491333333333333,0.7499666666666667,0.40536666666666665,0.22663644847353687,0.5350460020445353,0.33009577553900676,-0.014100000000000001,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,2
0.7362,0.6499,0.7490333333333333,0.4082,0.2212777261256475,0.5291709314227226,0.3188790122835983,-0.012833333333333363,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,3
0.7333333333333333,0.6455,0.7481,0.4104333333333333,0.22217811300780732,0.5261774272601702,0.31121837974236544,-0.014766666666666706,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,4
0.7389333333333333,0.6533666666666667,0.7523333333333333,0.4154,0.23458950201884254,0.5250775365529464,0.3404761171169339,-0.013399999999999967,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,5
0.7358666666666667,0.6479333333333334,0.7529333333333333,0.41323333333333334,0.23448461953588776,0.5281122720028334,0.34210807058518655,-0.017066666666666674,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,6
0.7367666666666667,0.6505,0.7477666666666667,0.39753333333333335,0.21421963790141405,0.5406321044889225,0.3355536792331984,-0.01100000000000001,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,7
0.7358,0.6515333333333333,0.7486,0.40473333333333333,0.22898435428268363,0.5362454359248374,0.33026016328910074,-0.012800000000000034,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,8
0.7297333333333333,0.6455666666666666,0.7484666666666666,0.40063333333333334,0.230188179167771,0.5420860425759331,0.3286084767181482,-0.01873333333333327,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,9
0.7361333333333333,0.6504,0.7476333333333334,0.4041,0.2182010302469951,0.533149048107361,0.33020522741640174,-0.011500000000000066,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,10
0.7337,0.6494666666666666,0.7489,0.40696666666666664,0.23191291650073012,0.5343392531268082,0.33478175417486583,-0.015199999999999991,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,11
0.733,0.6463333333333333,0.7463,0.4009333333333333,0.21652870844829852,0.5363794720621734,0.32706056688532603,-0.013299999999999979,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,12
0.7308666666666667,0.6442333333333333,0.7467333333333334,0.4072,0.22953408791787314,0.53254173734488,0.329786333919258,-0.015866666666666696,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,13
0.7370666666666666,0.6479333333333334,0.7504,0.41213333333333335,0.22796474358974358,0.5266080312722103,0.3282287967686726,-0.013333333333333308,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,14
0.7303333333333333,0.649,0.7496,0.40126666666666666,0.22870074547390842,0.5410885805763074,0.33251453639345385,-0.019266666666666765,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,15
0.7361,0.6448,0.7583333333333333,0.4235333333333333,0.2433103448275862,0.5190329670329671,0.34645915795095306,-0.022233333333333327,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,16
0.7357,0.6487333333333334,0.7480666666666667,0.40276666666666666,0.2210902355120402,0.5360484805275822,0.3227065396674109,-0.012366666666666637,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,17
0.7385,0.6501666666666667,0.7517666666666667,0.41063333333333335,0.2294883845843964,0.5295526094089478,0.33258390021293427,-0.013266666666666649,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,18
0.7383666666666666,0.6486,0.7512333333333333,0.4033,0.2164009111617312,0.5348094245019301,0.34393868382550496,-0.012866666666666693,fixed_ed_lo_eu,0.04,0.24,6.0,0.75,19
0.7957333333333333,0.6511333333333333,0.8499,0.5750666666666666,0.36531201421274706,0.3878887712279876,0.49449019084974205,-0.054166666666666696,fixed_ed_lo_eu,0.04,0.24,6.0,0.85,0
0.7990666666666667,0.6513,0.8502,0.5781,0.35447263017356473,0.3824982357092449,0.5014221577106409,-0.05113333333333325,fixed_ed_lo_eu,0.04,0.24,6.0,0.85,1
