variant,skill_name,lambda,team_acc,overreliance,calib_error
sigmoid,high,0.3,0.948391812865497,0.026754385964912277,0.05051698680881971
sigmoid,high,0.4,0.9497076023391813,0.02412280701754386,0.05052103801673788
sigmoid,high,0.45,0.956140350877193,0.015497076023391813,0.04922726702806711
sigmoid,high,0.5,0.8590643274853801,0.0,0.07938146711975191
sigmoid,high,0.55,0.8583333333333333,0.0,0.07938146713893314
sigmoid,high,0.6,0.8583333333333333,0.0,0.07938146713893314
sigmoid,high,0.7,0.8583333333333333,0.0,0.07938146713893314
sigmoid,high,0.85,0.8583333333333333,0.0,0.07938146713893314
sigmoid,high,1.0,0.8583333333333333,0.0,0.07938146713893314
sigmoid,low,0.0,0.9059941520467837,0.02353801169590643,0.04683793770361919
sigmoid,low,0.1,0.9008771929824562,0.02324561403508772,0.04683793769999455
sigmoid,low,0.2,0.9038011695906433,0.021052631578947368,0.04683793770000522
sigmoid,low,0.3,0.9071637426900584,0.0185672514619883,0.04787905179841105
sigmoid,low,0.4,0.9070175438596491,0.015789473684210527,0.04796819446142582
sigmoid,low,0.45,0.9089181286549708,0.010526315789473684,0.05520071026121591
sigmoid,low,0.5,0.5508771929824562,0.0,0.3807142025406742
sigmoid,low,0.55,0.5498538011695906,0.0,0.3807142025854303
sigmoid,low,0.6,0.5498538011695906,0.0,0.3807142025854303
sigmoid,low,0.7,0.5498538011695906,0.0,0.3807142025854303
sigmoid,low,0.85,0.5498538011695906,0.0,0.3807142025854303
sigmoid,low,1.0,0.5498538011695906,0.0,0.3807142025854303
sigmoid,medium,0.0,0.9312865497076023,0.028801169590643272,0.04900911111317341
sigmoid,medium,0.1,0.9283625730994152,0.02850877192982456,0.04900911111092453
sigmoid,medium,0.2,0.9321637426900584,0.02573099415204678,0.04900911111093201
sigmoid,medium,0.3,0.9358187134502923,0.022807017543859647,0.05028485906724957
sigmoid,medium,0.4,0.935672514619883,0.020029239766081872,0.05028603322858053
sigmoid,medium,0.45,0.9400584795321637,0.01330409356725146,0.05499349976099834
sigmoid,medium,0.5,0.7045321637426901,0.0,0.2283038658308056
sigmoid,medium,0.55,0.7036549707602339,0.0,0.228303865869168
sigmoid,medium,0.6,0.7036549707602339,0.0,0.228303865869168
sigmoid,medium,0.7,0.7036549707602339,0.0,0.228303865869168
sigmoid,medium,0.85,0.7036549707602339,0.0,0.228303865869168
sigmoid,medium,1.0,0.7036549707602339,0.0,0.228303865869168
